club_id,team_id,game_time,division,artificial_grass,field_id,color
655,1,12:30,5B,False,K02,Bleu
504,1,15:30,2A,True,A03,Bleu et jaune
543,1,14:30,3A,True,S01,Rouge et noir
649,1,12:30,4D,False,A01,Bleu ciel et Blanc
624,1,14:00,3D,True,L01,Bleu
497,1,15:00,4B,False,V02,Rouge
629,1,15:30,4A,True,L08,Rouge et noir
589,1,14:45,2B,True,W16,Rose et noir
67,1,14:00,4B,True,W19,Rayé noir et blanc
375,1,15:30,6E,True,W05,Rouge
611,1,14:00,3C,True,W05,Bleu
611,2,13:30,5A,False,A10,Bleu
544,1,15:30,3C,True,W05,Bleu marine
653,1,15:30,5A,True,B14,Bleu et blanc
656,1,12:30,5C,True,K02,Blanc
153,1,15:30,5A,False,R03,Jaune et Bleu
523,1,13:00,1,True,T07,Jaune
523,2,14:45,3D,True,T07,Jaune
646,1,15:30,4C,True,E04,Noir
