home_club_id,away_club_id,time,division,date,day,played,result,time_most_frequent,datetime_start,datetime_end
412,999,13:30,4B,2022-11-12,10,False,,13:30,2022-11-12 13:30:00+01:00,2022-11-12 14:40:00+01:00
412,455,13:30,4B,2022-11-19,11,True,3-1,13:30,2022-11-19 13:30:00+01:00,2022-11-19 14:40:00+01:00
412,445,13:30,4B,2022-12-10,14,False,,13:30,2022-12-10 13:30:00+01:00,2022-12-10 14:40:00+01:00
412,606,13:30,4B,2023-01-14,17,False,,13:30,2023-01-14 13:30:00+01:00,2023-01-14 14:40:00+01:00
412,999,13:30,4B,2023-01-28,19,False,,13:30,2023-01-28 13:30:00+01:00,2023-01-28 14:40:00+01:00
412,628,13:30,4B,2023-02-11,21,False,,13:30,2023-02-11 13:30:00+01:00,2023-02-11 14:40:00+01:00
412,67,13:30,4B,2023-02-25,22,False,,13:30,2023-02-25 13:30:00+01:00,2023-02-25 14:40:00+01:00
412,522,13:30,4B,2023-03-18,25,False,,13:30,2023-03-18 13:30:00+01:00,2023-03-18 14:40:00+01:00
412,39,13:30,4B,2023-03-25,26,False,,13:30,2023-03-25 13:30:00+01:00,2023-03-25 14:40:00+01:00
67,999,14:00,4B,2022-09-10,2,False,,14:00,2022-09-10 14:00:00+02:00,2022-09-10 15:10:00+02:00
67,306,14:00,4B,2022-09-24,4,True,3-4,14:00,2022-09-24 14:00:00+02:00,2022-09-24 15:10:00+02:00
67,628,14:00,4B,2022-10-08,6,True,0-2,14:00,2022-10-08 14:00:00+02:00,2022-10-08 15:10:00+02:00
67,999,14:00,4B,2022-10-22,8,False,,14:00,2022-10-22 14:00:00+02:00,2022-10-22 15:10:00+02:00
67,522,14:00,4B,2022-11-12,10,True,1-2,14:00,2022-11-12 14:00:00+01:00,2022-11-12 15:10:00+01:00
67,345,14:00,4B,2022-11-19,11,True,2-2,14:00,2022-11-19 14:00:00+01:00,2022-11-19 15:10:00+01:00
67,412,14:00,4B,2022-11-26,12,True,2-0,14:00,2022-11-26 14:00:00+01:00,2022-11-26 15:10:00+01:00
67,39,14:00,4B,2022-12-10,14,False,,14:00,2022-12-10 14:00:00+01:00,2022-12-10 15:10:00+01:00
67,359,14:00,4B,2023-01-14,17,False,,14:00,2023-01-14 14:00:00+01:00,2023-01-14 15:10:00+01:00
67,445,14:00,4B,2023-01-28,19,False,,14:00,2023-01-28 14:00:00+01:00,2023-01-28 15:10:00+01:00
67,497,14:00,4B,2023-02-11,21,False,,14:00,2023-02-11 14:00:00+01:00,2023-02-11 15:10:00+01:00
67,606,14:00,4B,2023-03-18,25,False,,14:00,2023-03-18 14:00:00+01:00,2023-03-18 15:10:00+01:00
67,455,14:00,4B,2023-03-25,26,False,,14:00,2023-03-25 14:00:00+01:00,2023-03-25 15:10:00+01:00
649,92,12:30,4D,2022-09-10,2,False,,12:30,2022-09-10 12:30:00+02:00,2022-09-10 13:40:00+02:00
